company,company_plot_number,tree_number,tree_label,tree_location,tree_origin,sector_or_quarter,species,distance,azimuth,trees_comment,measurement_number,tree_type,dbh,dbh_height,rcd,rcd_height,height,crown_class,dbh_age,stump_age,stump_height,total_age,stand_age_representative,htlc,crown_diameter_ns,crown_diameter_ew,condition_code1,cause1,severity1,condition_code2,cause2,severity2,condition_code3,cause3,severity3,leader_count,trees_measurement_comment
BLUE,2002004_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2002012_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2002015_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2002017_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2002017_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2002021_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2002023_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2003007_2,0,0,U,0,0,No,,,"",3,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2003012_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2003013_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2003013_2,0,0,U,0,0,No,,,"",3,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2003020_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2004006_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2004010_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2004010_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2004014_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2004014_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2004015_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2004015_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2004018_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2004018_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2004019_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2004019_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005002_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005002_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005003_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005003_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005005_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005011_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005021_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005021_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005023_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005024_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005024_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2005028_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006009_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006012_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006012_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006014_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006016_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006016_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006017_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006019_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006019_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006020_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006020_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006022_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006023_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006038_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006038_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006041_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2006041_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2007007_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2007008_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2007008_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2007011_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2007016_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2007018_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2007019_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2007021_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2007022_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2008006_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2008006_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2008012_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2008013_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2008017_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2008019_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,2008020_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,4045_1,0,0,U,0,0,No,,,"",3,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,4562_1,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,4792_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,5814_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,6596_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,6596_1,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,7371_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,8173_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,8173_1,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,8400_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,9396_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,9408_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,5250641227_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6020630431_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6020630431_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6020640913_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6020640913_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6020642753_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6030602963_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6030602963_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6030611310_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6030611310_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6030612733_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6040602858_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6070830807_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
CFGP,6070830807_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
